"digit","prop","ll","ul","obs"
"1",0.308477533333333,0.383333333333333,0.236666666666667,"Simulated"
"2",0.168210266666667,0.23,0.11,"Simulated"
"3",0.125669966666667,0.18,0.0766666666666667,"Simulated"
"4",0.103063766666667,0.153333333333333,0.0566666666666667,"Simulated"
"5",0.078248,0.123333333333333,0.04,"Simulated"
"6",0.0642626333333333,0.106666666666667,0.03,"Simulated"
"7",0.0577357666666667,0.0966666666666667,0.0233333333333333,"Simulated"
"8",0.0499942666666667,0.0866666666666667,0.02,"Simulated"
"9",0.0443378,0.08,0.0166666666666667,"Simulated"
"1",0.308477533333333,0.24009457835153,0.386432709099442,"Goodman"
"2",0.168210266666667,0.116792245716679,0.236211013584568,"Goodman"
"3",0.125669966666667,0.0817955422607736,0.188253265219941,"Goodman"
"4",0.103063766666667,0.0639067329974566,0.162059523849029,"Goodman"
"5",0.078248,0.045044188640807,0.132530817548312,"Goodman"
"6",0.0642626333333333,0.0348864913111133,0.115416764905804,"Goodman"
"7",0.0577357666666667,0.0302956161246289,0.10728011709788,"Goodman"
"8",0.0499942666666667,0.024999658317063,0.0974799921611149,"Goodman"
"9",0.0443378,0.0212496626331654,0.090199762586271,"Goodman"
